직무 단위,업무(기능) 단위,동사 키워드 정리,세부 동사 추출,AI 협업 강도,협업 강도 근거
호텔 직원 (All),AI 협업을 통한 신규 스킬·지식 습득 및 역량 개발,Disseminate,"  • 개발하다",Medium,"  • AI Capability: AI가 새로운 학습 기회와 발전 가능성을 제공하는 환경을 조성함.
  • 인간 Capability: 직원이 새로운 기술과 지식을 습득하고 이를 업무에 통합·적용하는 주체가 됨. (p.278)"
호텔 직원 (All),반복적·시간소모적 루틴 업무 자동화,Operate,,High,AI가 반복적이고 시간이 걸리는 업무를 자동화하여 업무 효율을 높이고 직원의 업무 부담을 줄임. AI 주도로 처리되며 인간 개입 필요성이 낮음. (p.277)
호텔 직원 (Housekeeping),객실 청결도 모니터링 · 수작업 점검 · 유지보수 감지 및 커뮤니케이션 처리,Operate,"  • 모니터링하다
  • 점검하다",High,"AI가 객실 청결 상태를 자동으로 감지하고 유지보수 필요 여부를 파악하며, 기존에 인간이 수행하던 수작업 점검과 커뮤니케이션 업무를 대체함. 인력 투입이 대폭 감소하므로 인간의 부가가치가 낮음. (p.277)"
호텔 직원 (Guest Service),복잡한 고객 응대 의사결정 및 창의적 업무 수행,Decide,"  • 의사결정하다",Low,"AI 지원을 받더라도 복잡한 판단·창의성이 요구되는 업무는 인간이 직접 수행해야 하며, 최종 책임도 인간에게 귀속됨. 인간의 고유 역량과 책임성이 높은 영역. (p.278)"
호텔 직원 (Guest Service),"고객 맞춤 서비스를 위한 데이터 분석 ",Analyze,,Medium,"  • AI Capability: AI가 더 많은 데이터를 분석하고 정확한 결론을 도출하는 것을 지원함. 
  • 인간 Capability: 직원은 AI의 분석 결과를 바탕으로 고객 응대 방향을 판단하고 적용하는 역할을 수행함. (p.278)"
행정 직원,민원 처리 요청 접수 및 실시간 처리 현황 업데이트,Collect / Operate,,High,"AI 툴이 처리 시간을 단축하고 실시간 업데이트를 제공하며 반복적 행정 업무를 자동화함. 인간의 직접 개입이 최소화되는 루틴 영역. (p.269, p.287 Appendix PT항목)"
행정 직원,직원 AI 역량 교육 및 조직 내 AI 수용 촉진,Interact,"  • 교육하다
  • 수용하다",Low,"AI 도입에 대한 저항 감소, 직원 교육 설계, 조직문화 조성은 인간 관리자의 리더십과 판단이 핵심. 관계 기반·맥락 기반 업무로 AI 역량이 낮은 영역. (p.282)"
행정 직원,AI 도입 전략 수립 및 윤리적 거버넌스 관리,Govern,"  • 관리하다",Low,"AI 도입의 방향성, 문화적 맥락 고려, 편향·프라이버시 등 윤리적 이슈 대응은 인간 관리자의 판단이 필수. AI는 효율성을 지원하지만 거버넌스 결정은 인간 주도. (p.281, p.270)"
행정 직원,서비스 품질 보장 및 이용자 요구 대응,Govern,"  • 보장하다
  • 대응하다",Medium,"  • AI Capability: AI가 서비스 정확성과 신뢰성을 보장하고 변화하는 수요에 신속히 대응함. 
  • 인간 Capability: 공정성·투명성·책임성 확보는 인간의 윤리적 판단이 필수적이며, 자동화만으로 대체 불가. 
  • 책임감: AI 오류 시 최종 책임은 인간 행정가에게 귀속됨. (p.270, p.272 OPR 측정 항목)"
행정 직원,조직 자원 배분 및 업무 성과 최적화,Disseminate,"  • 배분하다",Medium,"• AI Capability: AI가 조직 강점을 활용하여 자원을 효율적으로 배분하고 성과를 분석함. 
 • 인간 Capability: 자원 배분의 우선순위와 형평성 판단은 인간의 맥락 이해가 필요하며, 전략적 정렬은 인간이 수행. (p.268, p.272 RU 측정 항목)"
행정 직원,서비스 접근 채널 제공 및 정보 제공,Operate,,High,"AI 툴이 정보와 서비스를 쉽고 일관되게 제공하는 접근 채널을 자동으로 운영함. 인간의 개별 응대 없이도 서비스 제공이 가능한 영역. (p.272, SAC 측정 항목)"
행정 직원,서비스 요청 처리 속도 관리 및 업무 완료,Operate,"  • 관리하다",High,"AI가 업무 완료 속도를 높이고 조직 내 처리 프로세스를 자동으로 관리함. AI 주도로 수행되며 반복성이 높아 인간 부가가치 낮음. (p.272, PT 측정 항목)"
Manufacturing Manager (제조 관리자),실시간 데이터 기반 생산 스케줄 최적화 및 예측 유지보수,Operate / Analyze,,High,"AI가 실시간 데이터 분석을 통해 예측 유지보수를 자동으로 수행하며, 생산 스케줄 최적화를 주도함. 반복적·데이터 기반 처리로 인간 부가가치가 낮은 영역. "
Supply Chain Manager (공급망 관리자),현재 시장 트렌드 반영한 예측 수정 및 최종 조정,Analyze / Decide,"  • 산출하다
  • 조정하다",Medium,"  • AI Capability: AI가 데이터 기반 수요 예측값을 산출함. 
  • 인간 Capability: 인간이 현재 시장 트렌드, 공급망 변수 등 맥락 정보를 통합하여 AI 예측을 보정하고 최종 조정값을 결정함."
Supply Chain Manager (공급망 관리자),과거 데이터 기반 수요 예측 및 재고 최적화,Operate /Analyze,,High,"AI가 과거 데이터를 분석하여 수요를 자동으로 예측하고 재고 수준을 최적화함. 반복적·데이터 기반 처리로 AI 주도 가능한 영역. "
Financial Analyst (금융 분석가),경제 지표·시장 심리 고려한 투자 최종 판단,Analyze / Decide,"  • 판단하다",Medium,"  • AI Capability: AI가 데이터 기반 투자 후보를 제시하고 시장 패턴을 분석함. 
  • 인간 Capability: 인간 분석가가 경제적 맥락, 시장 심리, 리스크 허용 수준을 종합적으로 판단하여 최종 결정을 내림. "
Financial Analyst (금융 분석가),과거·실시간 시장 데이터 기반 투자 기회 탐색,Collect,"  • 탐색하다",High,"AI가 방대한 역사적·실시간 시장 데이터를 처리하여 잠재적 투자 기회를 자동으로 탐색함. 데이터 수집·분석은 AI가 주도. "
Healthcare Professional (의료진),자원 배분 승인,Decide / Govern,"  • 승인하다",Low,"AI의 예측 결과를 참고하더라도, 최종 치료 결정은 의료 전문가가 수행함. 환자 안전과 윤리적 책임이 수반되므로 인간 주도가 필수. "
Healthcare Professional (의료진),환자 데이터 분석 및 응급도 예측,Analyze,,High,"AI 알고리즘이 환자 데이터를 분석하여 응급도를 자동으로 예측함. 데이터 처리 능력이 AI에 집중되며, 인간의 직접 개입 없이도 초기 분류 가능."
Manufacturing Manager (제조 관리자),예상치 못한 생산 차질 상황 판단,Decide / Govern,"  • 판단하다",Low,"AI가 데이터를 제공하더라도, 예상치 못한 돌발 상황에 대한 전문적 판단과 대응은 인간 관리자의 경험과 맥락 이해가 필수. 책임성이 높은 영역. "
물류·배송 관리자(Fleet Manager),AI 앱 적응 결과 검증 및 시너지 효과 평가,Validate / Decide,"  • 평가하다",Medium,"  • AI Capability: AI가 적응 이력 데이터를 수집하고 시너지 확률값을 계산함. 
  • 인간 Capability: 플릿 매니저가 결과를 해석하고 다음 적응 주기의 방향을 판단하며 최종 평가를 내림. 양측의 역할이 모두 필요한 영역. "
물류·배송 관리자(Fleet Manager),조직 내 변화 관리,Govern,"  • 변화관리하다",Low,"AI 도입 방향 결정, 목표 설정, 직원 저항 관리, 변화 수용 촉진은 인간 관리자의 전략적 판단과 리더십이 핵심. AI가 지원할 수 없는 조직적·관계적 영역. "
물류·배송 관리자(Fleet Manager),예상치 못한 운행 차질(사고·교통 혼잡 등) 상황 판단,Decide / Govern,"  • 판단하다",Low,"AI가 데이터와 경로를 제공하더라도, 돌발 사태에 대한 실질적 대응 판단은 플릿 매니저의 현장 경험과 맥락적 판단이 필수. 책임성이 높고 표준화가 불가능한 영역."
물류·배송 관리자(Fleet Manager),GPS·센서 데이터 기반 실시간 배송 진행 현황 모니터링,Operate,,High,"GPS 추적 장치와 센서로부터 데이터를 수집하여 AI 시스템이 연료 배송 현황을 실시간으로 자동 모니터링함. 인간의 상시 개입 없이도 처리 가능한 영역. "
물류·배송 관리자(Fleet Manager),날씨 패턴·시장 트렌드 기반 연료 수요 예측 및 재고 수준 조정,Operate,,High,"AI가 기상 데이터·시장 트렌드를 수집·분석하여 수요 변동을 자동으로 예측하고 재고 최적화를 수행함. 대량 데이터 처리 기반의 반복 업무로 AI 주도가 가능. "
물류·배송 관리자(Fleet Manager),과거 데이터·교통 정보 기반 연료 배송 경로 자동 최적화,Operate,,High,AI 앱이 과거 데이터베이스·교통 패턴·일정을 분석하여 배송 경로를 자동으로 최적화하고 동적으로 계획함. 반복적·계산 집약적 업무로 AI가 주도하며 인간의 직접 판단 개입이 낮음.
물류·배송 관리자(Fleet Manager),다중 플랫폼 간 FDM 정보 통합 및 공유 관리,Intergrate / Decide,"  • 조율하다",Medium,"  • AI Capability: AI가 여러 데이터베이스와 플랫폼의 정보를 자동으로 연결·통합함. 
  • 인간 Capability: 통합 우선순위 설정, 형식 불일치 해결, 조직 간 협력 조율은 인간의 판단과 관계 역량이 필요. "
소프트웨어 개발 (IT/NPD),기회 식별 (Opportunity Identification),Decide,"  • 식별하다",Low,"시장 기회 식별은 맥락 판단과 전략적 의사결정이 필요한 영역. 논문 Table 1에서 Product Manager와 Requirements Engineer가 주도하며 AI 지식 관여 비중이 낮음. 인간 부가가치와 책임성이 높은 업무. "
소프트웨어 개발 (IT/NPD),배포 후 지원 (Post-deployment Support),Govern,"  • 지원하다",Medium,"AI가 운영 모니터링과 이상 탐지를 자동화하지만, 사용자 대응과 문제 해결은 DevOps Engineer 주도. AI 보유 지식(z,ff)이 요구 지식(x,y,z,ff) 중 부분 포함."
소프트웨어 개발 (IT/NPD),배포 계획 (Deployment Planning),Decide,"  • 계획하다",Low,"배포 전략은 비즈니스 판단과 리스크 관리가 핵심. AI 보유 지식(d,e)이 요구 지식(d,e,x,k)의 일부만 커버. Delivery Manager의 전략적 판단 필수 영역. "
소프트웨어 개발 (IT/NPD),품질 보증 테스트 (Quality Assurance Testing),Validate,"  • 보증하다
  • 시험하다",High,"품질 기준 대비 자동화 검사는 AI의 Supervisor 역할 적합. AI 보유 지식(r,t,mL)이 요구 지식(r,s,t,v,mL)의 핵심 포함. 논문에서 Supervisor 역할 AI가 프로세스 모니터링을 담당하는 대표 유형. "
소프트웨어 개발 (IT/NPD),사용자 경험 설계 (User Experience Design),Build,"  • 설계하다",Low,"UX 설계는 사용자 감성·맥락 이해 기반의 창의적 판단 필수. AI 보유 지식(m,aa,bb)이 요구 지식(m,n,aa,bb) 중 n 미포함. 인간 부가가치와 책임성이 매우 높은 영역. "
소프트웨어 개발 (IT/NPD),통합 테스트 (Integration Testing),Validate / Intgrate,,Medium,"시스템 통합 검증은 AI가 오류 패턴 탐지를 지원하고 인간이 최종 판단. AI 보유 지식(d,k) 중 요구 지식(d,v,k)에 부분 포함. 협업 필요 영역. "
소프트웨어 개발 (IT/NPD),사전 생산 테스트 (Component Pre-production Testing),Validate / Build,,Medium,"테스트 케이스 생성은 AI가 주도하나, 테스트 결과 해석과 이슈 판단은 Test Engineer 개입 필요. 인터뷰(Table 3, Test engineer C)에서 ""AI는 주로 테스트 케이스 생성과 오류 확인 도구""로 언급"
소프트웨어 개발 (IT/NPD),알고리즘 최적화 (Algorithm Optimization),Analyze,,Medium,"AI의 연산 역량이 높지만 최적화 방향 설정과 검증은 Algorithm Manager(인간) 주도 필요. AI 보유 지식(p,q,r,y)이 요구 지식(o,p,q,r,y,z) 대부분 포함. 논문에서 AI가 Collaborator로 참여하는 고숙련 협업 영역. "
소프트웨어 개발 (IT/NPD),백엔드 코딩 (Back-end Coding),Build,,High,"백엔드 로직 구현도 반복·정형화된 패턴 중심. AI 보유 지식(l,p)이 요구 지식(t,l,p,s)에서 핵심 소를 포함. 논문의 Tool 역할 AI 적용 사례와 일치."
소프트웨어 개발 (IT/NPD),미들웨어 코딩 (Middleware Platform Coding),Build,,High,"정형화된 미들웨어 플랫폼 코딩은 AI의 자동화 처리 적합. AI 보유 지식(p,q)이 요구 지식(p,s,t,q,l)에서 핵심 요소를 커버. Tool 역할 AI가 효율적으로 처리하는 반복 작업 유형"
소프트웨어 개발 (IT/NPD),프론트엔드 코딩 (Front-end Coding),Build,"  • 생성하다",High,"반복적·규칙 기반 코딩 업무로 AI가 자율 처리 가능. AI 보유 지식(m,n)이 요구 지식(m,n,s,t)의 핵심을 포함. 논문에서 Tool 역할 AI가 반복 작업을 자율 처리하는 대표 사례. 책임성 낮고 AI 역량 고. "
소프트웨어 개발 (IT/NPD),상세 설계 (Detailed Design),Build,"  • 설계하다",Medium,"System Engineer와 AI가 공동으로 설계 작업 수행. AI 보유 지식(i,j)이 요구 지식(i,j,o,s) 중 핵심 부분을 커버. 논문에서 AI가 Collaborator로 참여하는 활동군에 포함."
소프트웨어 개발 (IT/NPD),타당성 평가 (Feasibility Assessment),Analyze / Decide,"  • 평가하다",Low,"타당성 최종 판단은 Architecture Manager의 전문 판단이 필수. AI 보유 지식(g,i)이 요구 지식(g,h,i,l,n,p) 대비 부분적. 책임성이 높아 인간 주도 필요. "
소프트웨어 개발 (IT/NPD),개념 개발 (Concept Development),Build,"  • 개발하다",Medium,"Architecture Manager 주도이나 AI가 개념 설계 보조 및 아키텍처 분석에 참여. AI 보유 지식(d,e,f,g)과 요구 지식(d,e,f,x,p,y) 간 높은 중첩으로 AI 협업 효율이 높은 영역. 논문은 이 활동을 Collaborator 역할 AI가 참여하는 대표 사례로 제시. "
소프트웨어 개발 (IT/NPD),요구사항 분석 (Requirement Analysis),Analyze / Decide,,Medium,"AI가 데이터 처리 및 패턴 분석을 지원하고 인간(Requirements Engineer)이 최종 판단하는 구조. 논문에서 AI가 Collaborator 또는 Tool로 참여하는 활동으로 분류되며, 지식 도메인 {d,x,y,e,f,ee}에서 AI 보유 지식(d,e,f)이 상당 부분 포함됨."
투자 분석가(Investment Analyst),정량적 데이터 (주가·수치) 처리 및 분석,Collect / Analyze,,High,"주식 투자 시나리오에서 AI가 정량적 데이터를 처리하는 역할을 담당하는 구성을 반복적으로 제시하며, 이 업무는 반복적·계산 집약적 성격으로 인간의 직접 판단이 낮은 영역임을 시사함. AI가 단독으로 수량 데이터를 처리하고 결과를 산출하는 것이 효율적이라고 설명됨."
채용 담당자(HR Recruiter),후보자 심층 면접 및 최종 적합성 결정,Decide,"  • 결정하다",Low,"AI가 후보자를 추린 이후 인간이 심층 면접을 통해 최종 판단을 내리는 구조를 제시하며, 이 단계는 관계 판단·문화적 적합성·맥락적 이해가 필요한 고책임성 업무로 인간 주도가 필수임을 시사함. 의사결정 직무 종사자일수록 AI 거부감이 높다는 실증 결과도 이를 뒷받침."
채용 담당자(HR Recruiter),지원서 1차 스크리닝 및 후보자 필터링,Validate,,High,"채용 시나리오에서 AI가 다수의 지원서를 기준에 따라 자동으로 스크리닝하고 후보자를 추려내는 역할을 대표적 AI 주도 업무로 예시함. 반복적이고 기준 기반의 처리 업무로, 인간의 직접 판단 개입이 낮은 영역임을 시사."
투자 분석가(Investment Analyst),투자 종목 최종 선정 및 클라이언트 제안 결정,Decide,"  • 선정하다
  • 결정하다",Low,"인간이 최종 의사결정 권한을 보유하기를 강하게 원하며, AI가 최종 결론을 내리는 구조(Sequential HA 전문화 있음)에서 인간이 통제권 상실을 느끼고 신뢰가 저하됨을 실증적으로 보여줌. 책임성(Accountability)이 높은 의사결정은 반드시 인간이 주도해야 함을 강조."
투자 분석가(Investment Analyst),정성적 정보 (시장 맥락·고객 인사이트) 해석 및 최종 보고서 작성,Integrate / Analyze,"  • 해석하다",Medium,"  • AI Capability: AI가 정량 데이터를 처리하여 초안 또는 중간 결과를 제공함.
  • 인간 Capability: 인간은 정성적 판단, 고객 맥락, 최종 추천을 통합하는 역할을 담당함. 전문화된 병렬·순차 구조에서 인간이 정성적 분석을 담당하고 AI의 결과물과 통합하는 방식이 역할 명확성을 높인다고 설명함."
관리자·리더(Manager / Leader),구성원 감정 상태 파악 및 공감적 소통,Interact,"  • 파악하다
  • 소통하다",Low,"논문은 AI가 인간 고유의 사회적 상호작용과 감정적 피드백을 제공할 수 없음을 핵심 전제로 제시함. 리더가 직원의 감정 상태를 파악하고 공감·격려·경청을 제공하는 행위는 AI로 대체 불가한 인간 고유 영역으로, 이를 리더의 핵심 감정 지원 행동으로 명시함. 책임성과 관계적 신뢰가 전제되는 고인간부가가치 업무."
일반 직원(Employee),AI 협업 관련 교육 수강 및 역량 개발,Operate,"  • 수강하다
  • 개발하다",Medium,"  • AI Capability: AI가 학습 콘텐츠·가이드·피드백을 자동 제공하고 직원의 역량 진단을 지원할 수 있음.
  • 인간 Capability: 학습 방향 설정, 동기 유지, 학습 경험의 내면화와 조직 맥락 적용은 인간의 판단과 성찰이 필요함. 논문은 조직이 AI 협업 역량 교육을 제공해야 하며, 이 과정에서 인간의 적극적 참여가 필수임을 강조함"
일반 직원(Employee),동료 간 협력·소통 기반 공동 과업 수행,Interact,"  • 협력하다",Low,논문은 원래 직원 간 상호작용과 협력이 필요했던 과업들이 AI 협업으로 대체되면서 외로움과 반생산적 행동이 유발됨을 실증함. 즉 동료 간 소통·협력이 본질적으로 요구되는 과업은 AI로 대체할 경우 심리적 부작용이 발생하는 인간 주도 영역임. 관계적 신뢰와 사회적 연결이 업무 가치의 핵심
일반 직원(Employee),데이터 분석·처리 및 업무 결과 도출,Analyze,"  • 도출하다",High,"논문의 실험 조건에서 AI 협업 고집단은 ""AI가 데이터를 분석하고 결과를 처리하며 업무 제안을 제공""하는 방식으로 업무를 수행함. 이처럼 분석·처리 중심의 과업은 AI가 주도적으로 수행하며 직원의 역할이 결과 수용에 가까워지는 High 영역으로 묘사됨. 반복적·계산 집약적 특성."
관리자·리더(Manager / Leader),직원 외로움·감정 소진 상태 모니터링,Govern,"  • 모니터링하다",Low,논문은 AI 협업이 확대될수록 리더가 직원의 감정 상태 변화를 적시에 파악하고 개입하는 역할이 더욱 중요해진다고 강조함. 직원의 외로움·소진 여부를 판단하고 맞춤 대응을 결정하는 것은 높은 맥락적 판단력과 책임성이 요구되는 인간 주도 업무임.
관리자·리더(Manager / Leader),팀 빌딩 활동 기획 보충,Build,"  • 보충하다",Low,"AI 협업 확대로 인한 직원 간 상호작용 감소를 보완하기 위해, 리더가 팀 빌딩 활동이나 사회적 공간을 조성해 구성원의 감정 자원을 보충해야 함을 논문이 명시함. 이는 인간 관계·소속감 형성이 필요한 업무로 AI가 수행할 수 없는 영역. 조직 문화 형성 책임성이 높음."
중간관리자(Middle Manager),일정 관리 및 캘린더 조율,Operate,,High,"관리자들이 가상 어시스턴트에게 가장 먼저 위임하고 싶다고 언급한 업무로, 이미 인간 비서에게 위임되던 반복적·행정적 업무임. 규칙 기반으로 처리 가능하며 AI가 주도적으로 수행할 수 있는 영역으로 제시됨. 인간의 판단 개입 필요성이 낮음."
중간관리자(Middle Manager),타인 감독 및 성과 통제,Govern,"  • 감독하다
  • 통제하다",Low,"관리자들이 즐기지 않지만 인간이 직접 수행해야 하는 업무로 분류됨. 구성원의 성과를 판단하고 통제하는 것은 책임성과 윤리적 판단이 수반되는 영역으로, 인간 주도가 필수임을 시사함."
중간관리자(Middle Manager),복잡한 문제 해결 및 추상적 추론,Analyze / Decide,"  • 추론하다",Low,"관리자들이 선호하는 업무 유형 중 하나로, 복잡한 문제 해결과 추상적 추론이 포함됨. 논문은 인간이 복잡한 의사결정·사회적 기술·감각이 필요한 업무에 집중하고, AI는 복잡한 연산이나 대량 데이터 처리에 집중하는 분업 구조를 제안함."
중간관리자(Middle Manager),교육·멘토링 및 대면 미팅 진행,Interact,"  • 교육하다
  • 멘토링하다
  • 회의하다",Low,"관리자들이 가장 즐기는 업무로 꼽은 영역으로, 직접적 대인 접촉(교육, 멘토링, 회의)이 핵심임. 감정·관계·신뢰 기반의 상호작용이 요구되며 AI 대체가 어렵고 인간의 부가가치가 가장 높은 업무로 제시됨."
중간관리자(Middle Manager),팀원 목표 설정 및 이행 현황 추적,Analyze,"  • 추적하다",Low,"참여자 전원이 공통적으로 수행한다고 언급한 팀 관리 업무로, 목표 설정·완료 추적·팀원 지원·리더십이 포함됨. 관계적 판단과 조직 맥락 이해가 필요한 고책임성 업무로, 인간의 직접 주도가 필수인 영역으로 제시됨."
중간관리자(Middle Manager),업무 자동화 도구 활용을 통한 워크플로 최적화,Operate / Decide,"  • 활용하다
  • 최적화하다",Medium,"  • AI Capability: 다양한 시스템 간 반복 업무를 자동화하고 워크플로를 연결·통합하는 역할을 AI가 수행함.
  • 인간 Capability: 어떤 워크플로를 자동화할지, 우선순위와 예외 상황을 판단하는 것은 인간의 역할. 관리자들이 생산성 향상 요인으로 명시적으로 언급한 영역임."
중간관리자(Middle Manager),조직 내 지식 집약,Integrate,"  • 집약하다",Medium,"  • AI Capability: 조직 내 기존 해결책·노하우를 자동으로 수집·집약하고 필요한 구성원에게 배포하는 역할을 AI가 담당할 수 있음.
  • 인간 Capability: 어떤 지식이 가치 있는지, 누구에게 배포할지에 대한 맥락적 판단과 우선순위 설정은 인간이 담당해야 함. 인터뷰에서 등장한 가상 어시스턴트 모델 중 하나의 핵심 기능으로 제시됨."
중간관리자(Middle Manager),반복 보고서 작성 및 현황 보고,Build,"  • 보고하다",High,"관리자들이 즐기지 않는 업무 4가지 중 '행정 업무'에 포함되어 AI 위임 선호도가 높게 나타남. 정해진 형식과 데이터를 기반으로 반복 생성되는 문서로, AI가 주도적으로 처리할 수 있는 영역."
중간관리자(Middle Manager),단순 쿼리 실행 및 데이터 조회,Operate,,High,반복적·저수준 업무로 분류되어 관리자들이 AI에 위임하고 싶어 하는 대표적 업무로 언급됨. 정해진 기준에 따라 데이터를 검색·조회하는 업무로 인간 고유의 판단 가치가 낮음.
중간관리자(Middle Manager),이메일 수신함 정리 및 우선순위 분류,Manipulate,"  • 정리하다
  • 분류하다",High,"일정 관리와 함께 가상 어시스턴트 위임 대상으로 명시된 업무. 대량의 정보를 기준에 따라 분류·필터링하는 반복 처리 업무로, 규칙 기반 자동화가 가능하며 인간의 직접 판단 개입이 낮은 영역임."
하이테크 서비스 직군(High-Tech Service Worker),대규모 데이터셋 신속 처리 및 분석 결과 산출,Operate / Analyze,,High,"논문은 하이테크 서비스 산업에서 AI가 대량 데이터를 신속히 처리하는 역할을 담당하며, 이것이 AI 도입의 핵심 목적임을 명시함. Table 2에서 '과업 자동화(Task automation)'는 반복적·루틴 업무의 인지적·시간적 부담을 AI가 해소해주는 영역으로, 인간의 창의적 업무 몰입을 위한 자원을 확보해주는 촉진초점 자원으로 분류됨. 인간의 직접 판단 개입이 낮은 반복·계산 집약 업무."
리더·관리자(Leader / Manager),인간-AI 업무 배분,Decide,"  •  배분하다",Low,논문은 AI를 부서 전반에 도입할 때 관리자가 직원의 의견을 수렴하고 인간-AI 간 과업 배분을 명확히 하며 통합적 워크플로를 설계하고 직원에게 AI에 대한 더 큰 자율성을 부여해야 한다고 권고함. 이는 조직 구조와 책임 체계를 결정하는 고책임성 인간 주도 업무임.
리더·관리자(Leader / Manager),직원 창의성 기대 수준 설정,Govern,"  • 설정하다",Low,"논문은 리더가 직원에게 창의성을 핵심 직무 요건으로 인식시키는 명시적 기대 설정이 창의적 몰입의 핵심 조절 변수임을 실증함. 특히 위계적 문화(중국 고권력거리)에서 직원의 창의 행동은 리더의 명확한 신호 없이는 발현되기 어려우며, 이는 인간 판단과 관계적 권위가 필수적인 Low 영역임. AI가 이 역할을 대체할 수 없음."
하이테크 서비스 직군(High-Tech Service Worker),AI 협업 환경에서의 기술 역량 개발,Build,"  • 개발하다",Medium,"  • AI Capability: AI가 정밀한 과업 수행과 일관된 결과 제공을 통해 직원의 기술 개발 기회와 구조적 직무 자원을 확충해 주는 '기술 개발 및 프로세스 최적화(Skill development and process optimization)' 기능을 담당함.
  • 인간 Capability: 어떤 기술을 어떻게 개발할지 방향을 설정하고 AI가 제공하는 성장 신호를 내면화하여 역량을 강화하는 것은 인간의 능동적 역할임. 논문은 직원이 AI와의 상호작용을 통해 성장 지향 과업을 추구하는 촉진초점 잡 크래프팅을 수행한다고 설명함."
하이테크 서비스 직군(High-Tech Service Worker),AI 활용을 통한 지식 탐색,Collect,"  • 탐색하다",High,"  • AI Capability: AI가 정보·인지 자원을 확장하고 불확실성을 줄이며 지각된 통제감을 높이는 '지식·의사결정 지원(Knowledge/decision support)' 기능을 수행함.
  • 인간 Capability: AI가 제공한 정보를 맥락에 맞게 해석하고 최종 의사결정을 내리는 것은 인간의 역할. 지식 근로자가 AI 어시스턴트를 활용해 창의 목표를 설정·모니터링·검토하는 자기조절 과정으로 묘사됨."
하이테크 서비스 직군(High-Tech Service Worker),AI와의 브레인스토밍을 통한 아이디어 생성 및 개념 개발,Integrate / Build,,Medium,"  • AI Capability: AI가 아이디어 풀을 확장하고 탐색 단계의 자원 소진을 줄이며 창의적 지속성을 자극하는 '창의적 비계(Creative scaffolding)' 역할을 담당함.
  • 인간 Capability: 아이디어의 유용성·참신성을 최종 판단하고 개념을 통합·발전시키는 것은 인간의 역할. 논문은 인간-AI가 서로의 입력을 흡수·발전시키는 반복적 공동창작 과정을 제안하며, 양측 모두의 역할이 필수적임을 강조함."
하이테크 서비스 직군(High-Tech Service Worker),업무 목표 진행 상황 모니터링 및 실시간 피드백 제공,Operate,,High,Table 2에서 '실시간 피드백 및 데이터 인사이트(Real-time feedback and data insights)'는 AI가 모니터링 정확도를 높이고 적응적 조정을 지원하며 효율적 자원 배분을 가능하게 하는 기능으로 분류됨. 규칙 기반 모니터링과 데이터 집계는 AI가 주도적으로 수행하며 인간 개입이 낮은 영역임.
관리자 / 리더,AI 통합 전략 수립 및 역할·책임 설계,Build,"  • 수립하다
  • 설계하다",Low,"논문은 인간–AI 협업을 위해 리더가 비전 설정, 역할 정의, 책임 구조를 명확히 해야 한다고 제시함. 조직 방향성과 책임성이 핵심이므로 인간 주도. "
일반 직원,고객 맞춤 대응 및 공감 기반 서비스 제공,Disseminate,"  • 제공하다",Low,"인간은 공감, 창의성, 사회적 기술에 강점이 있다고 명시됨. 관계 기반 서비스는 인간 주도. "
중간관리자(Middle Manager),조직 내 지식 배포 관리,Govern,"  • 관리하다",Low,"  • AI Capability: 조직 내 기존 해결책·노하우를 자동으로 수집·집약하고 필요한 구성원에게 배포하는 역할을 AI가 담당할 수 있음.
  • 인간 Capability: 어떤 지식이 가치 있는지, 누구에게 배포할지에 대한 맥락적 판단과 우선순위 설정은 인간이 담당해야 함. 인터뷰에서 등장한 가상 어시스턴트 모델 중 하나의 핵심 기능으로 제시됨."
일반 직원,복잡한 서비스 문제 해결 및 협업 수행,Interact,"  • 해결하다
  • 협업하다",Low,"  • AI Capability: AI는 데이터 기반 인사이트와 분석 결과를 제공하여 문제 해결을 지원함.
  • Human Capability: 인간은 공감, 직관, 맥락 이해, 창의적 판단을 통해 문제 해결을 완성함."
일반 직원,데이터 분석 및 패턴 기반 인사이트 도출,Analyze,,High,"AI는 대량 데이터 처리와 패턴 인식에 강점이 있음. 분석 중심 업무는 AI 주도 가능. "
일반 직원,반복적·정형화된 업무 수행,Operate,,High,논문에서 automation은 루틴 업무 처리로 정의됨. 반복 업무는 AI가 효율적으로 수행 가능.
데이터 / 시스템,데이터 보안·프라이버시 및 거버넌스 관리,Govern,"  • 관리하다",Low,"개인정보 보호, 데이터 규정 준수, 보안 체계 구축은 책임성과 윤리 판단 요구 "
