직무 단위,업무(기능) 단위,동사 키워드 정리,세부 동사 추출,AI 협업 강도,협업 강도 근거
호텔 종사자,고객 서비스·감성 응대 (컨시어지·프론트 데스크 대면 서비스),Interact,"  • 응대하다",Low,"관련 문헌: ""frontline staff possessing non-cognitive skills (emotional, social, and personal competencies) that AI currently lacks""

AI 인식(job threat)이 높아도 대면 서비스의 감성·관계 역량은 인간 고유 영역으로 확인됨.

접근 동기(approach motivation) 활성화가 이 기능에서의 AI 협업을 이끄는 조건임."
호텔 종사자,고객 데이터 기반 수요·선호 분석,Analyze,,Medium,"  • AI Capability: AI가 ""data-driven analytics""로 분석 수행

  • 인간 Capability: 고객 맥락 이해와 서비스 전략 적용은 인간 판단 필요.

AI 인식이 높아도 분석 결과 해석과 서비스 적용은 직원 협업 필요."
호텔 종사자,고객 문의 대응 (챗봇·가상 어시스턴트 활용),Operate,"  • 대응하다",High,"""conversational chatbots and virtual assistants that provide instant guest support""

정형화된 질의응답 처리는 AI 주도 가능."
다산업 종사자,반복적 정보 수집 (루틴 데이터 수집·검색·입력 등),Collect / Operate,,High,"논문 p.4(H2 논거): ""AI tools such as chatbots for customer service or analytics platforms can manage routine responsibilities like information retrieval and pattern recognition, thereby alleviating the time and effort required of employees.""

절차적 반복 정보 처리 → AI 역량 高, 인간 부가가치 低."
다산업 종사자,창의적 과업 수행,Operate,"  • 수행하다",Medium,"논문 p.3: AI 협업으로 반복 업무 부담 감소 → 직원이 ""cognitively demanding and creative tasks""에 집중 가능(p.2).

  • 인간 Capability: 이 영역은 AI 지원이 있지만 인간의 인지적 참여가 핵심."
다산업 종사자,새로운 책임 수용 및 조직 기여 (적극적 행동),Interact,"  • 적응하다
  • 수용하다",Low,"논문에서 proactive behavior(적극적 행동)은 자기 주도적·미래 지향적 인간 행동으로 정의됨 (p.2).

""self-initiated, future-oriented actions intended to improve personal or organizational performance.""

AI가 자원(시간·에너지)을 확보해주지만 적극적 행동 자체는 인간 주도.

  • 책임성 高."
다산업 종사자,혁신적 아이디어 제안,Disseminate,"  • 제안하다",Medium,"논문 p.3(H1 논거): AI 협업으로 자원이 확보된 직원이 ""proactively propose new ideas, coordinate team efforts, or assume additional responsibilities.""

  • AI Capability: 인간이 주도하는 창의적 산출물이지만 AI 도움으로 자원이 확보됨."
다산업 종사자,데이터 분석 및 의사결정 (분석 플랫폼 활용),"Decide ",,Medium,"논문 p.3: ""analytics platforms for data processing.""

AI가 패턴 인식과 분석을 지원하지만, 결과 해석과 전략 적용은 인간 판단 필요.

제조업·금융·IT 맥락에서 AI 역량 高이나 인간 부가가치도 高."
다산업 종사자,루틴 고객 응대·정보 처리 (챗봇 기반 고객 서비스),Operate,,High,"논문 p.3(H2 논거): ""chatbots for customer service… manage routine responsibilities.""

사전 정의된 절차에 따른 정보 처리.

AI 협업으로 이 기능 부담이 줄었을 때 직원의 업무 몰입도와 적극적 행동이 증가함을 실증 (H4 지지, p.1)."
보험회사 고객 서비스 상담원,단순 고객 문의 처리 (주소 변경 등 정형화 요청),Operate,,High,"논문 p.137: ""The chatbot automated simple tasks… particularly for straightforward matters like updating a customer's address.""

AI 챗봇이 24/7 처리. 절차적·반복적 업무로 인간 부가가치 낮음.

직원들도 이 기능이 AI에 이전됨을 수용."
현장 경찰관,위험 지역 예측 기반 순찰 배치,Decide,"  • 배치하다",Medium,"논문 p.140: 미국 경찰에서 AI가 ""area predictions"" 제공 → 경찰관 배치.

AI가 예측하나 경찰관의 순찰 결정에 영향. 그러나 경찰관들이 예측 고위험 지역 배치에 저항 — ""triggered a different kind of risk awareness.""

  • 인간 Capability: 인간의 위험 감수 판단이 개입."
현장 경찰관,실시간 상황 판단,Decide,"  • 판단하다",Low,"논문 p.139–140: 스마트폰 정보 조회가 경찰관의 자세를 ""hunched-over""로 변화시켜 신체적 안전 위협.
AI가 정보를 제공해도 현장 판단·신체 대응은 100% 인간 주도.

""improved the information position… ended up deteriorating their physical safety.""

Decide 기능은 HAIC Low임을 신체적 안전 위협이라는 극적 방식으로 입증."
현장 경찰관,실시간 인물·차량 정보 조회 (스마트폰 앱 활용),Collect,"  • 조회하다",High,"논문 p.139: ""app with which they could scan driver's licenses and license plates which, through image recognition, would immediately result in a list of all past police registrations.""

AI 이미지 인식이 정보 수집 자동화. 절차적 업무."
경찰 정보 분석관,범죄 정보 현장 경찰관에게 전달,Disseminate,"  • 전달하다",Low,"논문 p.138: 인텔리전스 오피서가 현장 경찰관에게 AI 예측 결과를 전달·설명.

현장 맥락 이해와 관계 기반 소통이 필요. 인간 주도."
경찰 정보 분석관,AI 오류·편향 탐지 및 품질 검증,Validate,,Medium,"논문 p.139: 인텔리전스 오피서는 ""knowledgeable about the capabilities of AI to identify the underlying reasons for predictions or potential faulty predictions""을 요구받음.

  • 인간 Capability: AI 검증 역량 필요하나 인간 전문성도 필수. 그러나 기존 정보 직원의 교육 수준 미달로 번아웃 발생."
경찰 정보 분석관,AI 예측 결과 해석·번역 (현장 경찰관을 위한 내용 전환),Analyze,"  • 해석하다
  • 번역하다",Medium,"논문 p.138: 인텔리전스 오피서의 핵심 역할은 ""translation of AI outputs into practice.""

  • 인간 Capability: AI 역량 高이나 맥락적 해석·현장 적용은 인간 필수.

이 기능이 인간에게 ""cognitive overload"" 유발 — AI 협업이 오히려 부담을 증가시키는 사례."
경찰 정보 분석관,AI 범죄예측 결과 수신·처리,Analyze,,High,"논문 p.138: 범죄 예측 AI가 1주일 전 범죄 발생 위치·시간을 예측하여 출력.

AI가 데이터 처리·예측 완전 수행."
보험회사 고객 서비스 상담원,"감성 노동 지속 수행 (심층 감정적 지원, 공감 제공)",Interact,"  • 공감하다",Low,"논문 p.138: AI 도입 이후 직원의 업무가 ""solely emotional labor""로 재편.
→ 기존 단순 업무(휴식 역할)가 없어지며 emotional overload 발생.

""being a psychologist without the proper training"" — AI가 단순 업무를 가져가자 감성 업무만 남음. → 인간의 전적인 수행이 필요.

이 기능은 기존 10개 동사로 완전히 포착되지 않아 Empathize(공감)를 새로운 동사로 제안"
보험회사 고객 서비스 상담원,복잡·감성적 사안 상담 (사망 보험금 청구 등),Interact,"  • 상담하다",Low,"논문 p.137: ""For more sensitive or complex issues, such as claims for death insurance payouts, customers are still directed to human workers.""

감성 지능과 공감이 필수로 책임성 高. AI 대체 불가."
보험회사 고객 서비스 상담원,고객 정보 및 문의 수집 (초기 접수),Collect,,High,"논문 p.137: 챗봇이 ""primary point of contact for many InsureCo customers""로 기능하며 초기 고객 정보 수집 담당.

AI 역량 高, 인간 부가가치 低."
Services (Warmth/ Competence),고객 정서적 유대 및 '따뜻함' 제공,Interact,"  • 지지하다",Low,"• AI capability: 의인화(Anthropomorphism)를 통해 따뜻함을 흉내 낼 수 있으나 신뢰 구축에는 한계가 있음 .
• 인간 capability: 책임: 진정성 있는 공감과 정서적 지지를 통해 서비스 만족도를 결정짓는 최종 판단은 인간의 몫임."
Frontline Services (FLE),현장 로봇과의 협업 및 상호작용,Interact,"  • 협업하다",Low,"• AI capability: 육체적/심리적 워크로드를 분담하며 서비스의 '환대성(Hospitableness)'을 보조함 .
• 인간 capability: 책임: AI 도입으로 인한 이직 의도(Turnover intention)나 번아웃을 관리하며 팀워크를 유지하는 거버넌스 수행."
제조 (운영직),지능형 산업 로봇 운영,Operate,,High,지능형 산업 로봇 운영은 논문에서 AI 협업 업무의 대표적 사례로 명시됨. 로봇이 물리적 작업을 주도 수행하며 인간은 파라미터 설정·감독 역할. 반복적이고 자동화된 공정으로 책임성이 낮아 AI 주도 판단.p.6
금융서비스 (기술직),고객 서비스 가상 어시스턴트 운용,Operate,"  • 운용하다",Medium,"가상 어시스턴트를 활용한 고객 서비스가 명시적 AI 협업 사례로 언급됨. 정형 문의는 AI가 처리하고 복잡·감성적 상황은 인간이 개입하는 협업 구조. AI 역량 High, 인간 맥락 판단도 필요하여 Medium 판단.p.6"
금융서비스 (기술직),"AI 기반 의사결정 ",Decide,,Medium,"AI 기반 의사결정 지원 시스템(AI-driven decision-support system)이 구체적 협업 사례로 명시됨. AI가 정보 처리·대안 제시를 수행하고 인간이 최종 판단을 내리는 구조. 논문에서 의사결정 향상이 협업의 핵심 효과로 언급됨.p.1, p.6"
금융서비스 (기술직),AI 기반 리스크 평가,Integrate / Analyze,"  • 평가하다",Medium,"AI 기반 의사결정 지원·리스크 평가 시스템 활용이 명시적 사례로 언급됨. AI가 데이터 분석과 위험 점수 산출을 담당하고, 최종 심사·승인은 인간이 책임지는 협업 구조.p.6"
제조 (운영직),예측 모델 기반 생산 계획,Analyze,"  • 예측하다
  • 계획하다",High,머신러닝 예측 도구 활용이 명시적 사례로 언급됨. 수요·재고 예측 등 정형화된 예측 업무는 AI가 주도적으로 수행하며 인간의 부가가치 낮음.p.6
제조 (운영직),AI 이미지·음성·텍스트 인식,Collect,"  • 인식하다",High,AI 기반 이미지·음성·텍스트 인식 시스템 활용이 논문의 구체적 AI 협업 사례로 언급됨. 패턴 인식·분류는 AI가 독립적으로 고성능 수행 가능하며 인간 판단 개입 최소화.p.6
지식 근로자,커리어 네트워크 내 지식 전파,Disseminate,"  • 전파하다",Low,"• AI capability: 정보를 퍼뜨릴 수는 있으나 인간 관계 기반의 신뢰 형성은 불가능함 .

• 인간 capability: 책임: AI와 협업하여 얻은 인사이트를 동료와 공유하고 커리어 네트워크를 확장하는 관계 기반 과업임."
관리자/리더,디지털 업무 환경 감독 및 거버넌스,"Govern
","  • 감독하다",Low,"• AI capability: 표준화된 규칙 모니터링은 가능함.
• 인간 capability: 책임: 디지털 리더십을 발휘하여 팀원들이 AI를 신뢰하도록 환경을 조성하고 기술적 불확실성을 관리함.
→ 논문 자체의 내용이 AI 불확실성을 리더십으로 관리해야한다는 내용이다. "
경영 관리자,데이터 기반 미래 성과 예측,Analyze,"  • 예측하다",High,"• AI capability: 알고리즘을 통한 예측 분석(Predictive Analytics)은 인간의 직관보다 높은 정확도를 가짐. 

 • 인간 capability: AI가 분석한 데이터의 경향성을 확인하는 수준."
경영 관리자,의사결정 투명성 및 책임 관리,"Govern

","  • 관리하다",Low,"• AI capability: 자동화된 로그 기록은 가능하나 소통의 책임은 없음. 

 • 인간 capability: 책임: 의사결정 프로세스의 투명성을 확보하고 이해관계자들에게 설명하는 리더십 역할."
경영 관리자,"최종 전략 선택 및 자원 할당
","Govern

","  • 할당하다",Low,"• AI capability: 통계적 확률만 제공할 뿐 복잡한 이해관계를 반영하기 어려움. 

 • 인간 capability: 책임: 불확실성 속에서 최종 결정을 내리고 그 결과에 대한 모든 책임을 짐."
경영 관리자,최적의 비즈니스 전략 처방,Integrate,"  • 처방하다",Medium,"• AI capability: 다양한 시나리오에 따른 처방적 분석(Prescriptive Analytics) 대안을 제시함. 

 • 인간 capability: 책임: 제시된 여러 대안을 매니저의 경험 및 조직 맥락과 통합함."
경영 관리자,분석 결과에 대한 논리적 검증,Validate,,Medium,"• AI capability: 결과 도출 과정을 설명(Explainability)할 수 있는 기능을 제공함. 

 • 인간 capability: 책임: AI 결과가 조직의 실제 상황과 윤리적 기준에 부합하는지 최종 검토함."
간호사 (Nurses),"워크플로우 최적화, 자원 배분",Operate,"  • 배분하다",High,"• AI capability: 센서와 데이터를 통해 환자의 징후를 24시간 감시하고 자동 알람을 보내는 역량이 우수함. 

 • 인간 capability: 단순 모니터링은 AI에 맡기고 실제 응급 처치에 집중함. "
간호사 (Nurses),정서적 지지 및 상담 (Humanistic Care),Interact,"  • 지지하다
  • 상담하다",Low,"• AI capability: 정보 전달은 가능하나 진정한 공감과 심리적 지지 역량은 낮음. 

 • 인간 capability: 책임: 환자와의 신뢰 관계를 형성하고 정서적 케어를 제공하는 핵심적인 인간 고유 업무임."
간호사 (Nurses),임상 의사결정 지원,Govern,"  • 지원하다",Low,Accountability(책임성)이 높은 업무일수록 인간 주도(HAIC Low)가 되어야 한다는 논리를 의료 현장 데이터로 뒷받침해줍니다. 특히 임상 판단과 윤리적 민감성이 요구되는 업무는 AI가 대체할 수 없다는 실증적 근거로 활용 가능합니다.
간호사 (Nurses),환자 위험 예측,Analyze,"  • 예측하다",Medium,"• AI capability: 방대한 의료 데이터를 분석하여 질병 가능성을 예측함. 

 • 인간 capability: 책임: AI의 분석 결과를 환자의 개별적 특성과 대조하여 비판적으로 해석함. "
"직무 보편적
지식 노동 (Knowledge Work)",정보 검색 및 수집,Collect,"  • 검색하다",High,10명의 응답자가 AI가 정보 검색 과정을 단순화하고 수초 내에 모든 정보를 제공한다고 언급. 인간의 직접 판단 없이 AI가 주도적으로 수행 가능한 반복 작업으로 판단. p.7-8
직무 보편적,직원 AI 역량 교육,Interact,"  • 교육하다",Low,"AI 도입 전 직원 교육과 역량 개발은 조직 관리자의 책임. 응답자들이 AI 사용법 훈련과 지식 격차 모니터링을 조직의 핵심 과제로 제시.p.4, p.15"
직무 보편적,인간 관계 및 감성 소통,Interact,"  • 소통하다",Low,6명의 응답자가 AI가 인간적 유대와 대면 소통을 대체 불가능하다고 언급. AI가 답을 가져도 감성과 진정성은 인간 고유 영역임을 강조.p.11-12
직무 보편적,AI 도입 전략 결정,Decide,"  • 결정하다",Low,"기업의 AI 도입 시 조직 역량·가치관 평가 및 전략 방향 설정은 인간의 결정이 필수. 응답자들이 AI를 어떻게 도입하느냐가 핵심이라고 강조.p.4, p.15"
직무 보편적,데이터 프라이버시 정책 결정,Decide,"  • 결정하다",Low,"개인 데이터 수집·활용 방식에 대한 정책 결정은 높은 책임성 요구. 응답자들이 마이크로·메소·매크로 3개 수준 모두에서 데이터 프라이버시 우려를 표명.p.12-13, p.15-16"
직무 보편적,윤리적 AI 사용 기준 수립,Govern,"  • 수립하다",Low,"규정·정책 마련과 책임 있는 AI 사용은 인간의 고유 영역. 응답자들이 AI 규제 법률 부재를 지적하며 개발자·사용자·기관 모두의 도덕적 책임을 강조.p.13, p.15-16"
직무 보편적,AI 리스크 모니터링,Validate,"  • 모니터링하다",Medium,조직이 AI 사용의 지식 격차를 지속 모니터링해야 한다고 언급. AI 도구를 검증하고 통합하는 과정에서 인간의 판단과 AI의 데이터 처리가 함께 작동.p.4
직무 보편적,데이터 기반 의사결정,Decide,,Medium,"AI가 데이터 분석과 시뮬레이션을 수행하고 인간이 최종 비즈니스 결정을 내리는 협업 구조. 창의적 제품 디자인이나 데이터 기반 의사결정에서 인간-AI 협업이 강점.p.4, p.14"
직무 보편적,학습 및 역량 개발,Collect,"  • 학습하다
  • 개발하다",High,7명의 응답자가 AI를 학습 도구로 인식. AI가 지식 전달을 주도하지만 인간의 비판적 사고와 자기주도 학습이 반드시 필요하다는 균형 관점이 강조됨.p.7-8
직무 보편적,아이디어 발굴 및 창의적 작업,Build,"  • 작업하다",Medium,6명의 응답자가 창의력 부족 시 AI가 도움이 된다고 언급. AI가 아이디어와 영감을 제공하지만 최종 방향 결정은 인간이 담당하는 협업 구조.p.7
직무 보편적,자연어 처리 (NLP) 작업,Manipulate,"  • 처리하다
  • 번역하다
  • 분류하다",High,"감성 분석, 텍스트 분류, 언어 번역 등 NLP 기능은 AI가 독립적으로 높은 성능으로 수행. 인간의 개입 없이도 완수 가능한 기술적 작업으로 언급됨. p.3-4"
직무 보편적,자동화 업무 처리,Operate,,High,"문서화, 고객 지원 등 반복 업무를 AI가 자동 처리하고 직원을 고부가가치 업무에 집중시킬 수 있음. 응답자들도 AI가 특정 작업을 완전히 대체할 수 있다고 언급. p.3-4, p.9"
중간 관리자,AI 시스템 오류 확인 및 교정,Validate,"  • 확인하다
  • 교정하다",Medium,"  • 인간 Capability: AI가 실수를 하거나 고장 날 경우 인간이 개입하여 루틴 업무를 대신하거나 오류를 수정해야 함."
서비스 팀,"자산 관리 및 투자 솔루션 ",Analyze,,High,어드바이저가 인간의 개입 없이 독립적으로 투자 파라미터를 분석하고 솔루션을 제공함.
서비스 팀,고객 상담 및 기초 응대,Interact,"  • 상담하다
  • 응대하다",Low,"  • 인간 Capability: 챗봇이 쉬운 대화를 처리하지만, 해결하지 못하는 복잡한 문제는 인간 직원에게 정보를 전달하여 협업함."
서비스 팀,고객 데이터 분석 및 개인화,Analyze,,High,AI가 고객 데이터를 분석하여 의미 있는 패턴을 찾고 서비스를 개인화하는 데 최적화되어 있음.
서비스 팀,대출 신청 처리 및 의사결정,Collect / Operate,,High,대출 신청의 90%를 알고리즘이 독립적이고 자동적으로 처리하며 직접 결정을 내림.
중간 관리자,팀원 동기부여,Interact,"  • 동기부여시키다",Low,AI 도입에 따른 직업적 불안감을 해소하고 팀원에게 비전을 전파하는 것은 감성 지능과 공감이 필수적임.
중간 관리자,윤리적 가이드라인 및 규정 준수 감사,Govern,"  • 감사하다
  • 검토하다",Low,"GDPR, 금융 규제 등 법적 한계를 결정하고 정보 보안 및 리스크를 관리하는 것은 인간 고유의 책임 영역임."
최고경영자 (Top Manager),데이터 기반 분석 및 인사이트 추출,Analyze,"  •  추출하다",High,"AI는 방대한 데이터를 분석하고 데이터 기반 권고안을 신속·효율적으로 제공할 수 있으며, 전략적 의사결정 지원에 활용됨. 데이터 수집·분석 자체는 AI 역량이 높고 인간의 추가적 판단 필요성이 낮음."
최고경영자 (Top Manager),조직 민첩성 기반 변화 대응,Govern,"  • 대응하다",Low,"민첩성(Agility)은 경영자의 개인적 특성(위험 감수 성향, 적응력, 역동적 환경 경험)에 깊이 뿌리내린 역량으로, AI가 실시간 인사이트를 제공하더라도 최종 신속·유연한 판단은 경영자가 수행함."
최고경영자 (Top Manager),이해관계자 관계 관리 및 사회적 신뢰 형성,Interact,"  • 형성하다",Low,"경영자는 AI 사용에 대해 사회의 신뢰와 지지를 유지하기 위해 이해관계자 참여와 윤리적 관행을 채택해야 함.
 
감성지능과 사회적 지능은 AI가 대체할 수 없는 인간 고유 역량으로 명시됨."
최고경영자 (Top Manager),조직 문화·디지털 전략 방향 제시,Govern,"  • 제시하다",Low,"최고경영자는 디지털 문화를 촉진하고 AI 사용의 윤리적·포용적 기준을 설정하며 AI 이니셔티브를 조직 목표와 정렬시키는 책임을 가짐.

이 기능은 사회문화적 판단과 리더십 가치관이 핵심이므로 AI 대체 불가."
"최고경영자
  (Top Manager)",전략적 의사결정,Decide,"  • 의사결정하다",Low,"AI 도입은 복잡한 전략적 결정으로, 조직·기술·사회문화적 요인이 복합적으로 작용하며 경영자의 가치관·경험·인지 편향이 결정을 좌우함. UET에 따르면 경영자 특성이 조직 성과에 결정적 영향을 미침."
최고경영자 (Top Manager),조직 내 AI 지식·결과 공유 및 전파,Disseminate,"  • 공유하다",Medium,"리더가 AI 역량을 직원들에게 명확히 전달하고 기술과의 상호작용 능력을 시연할 때 팀 효율성이 높아짐
  • AI capability: AI 기반 커뮤니케이션 도구가 정보 전파를 지원함. 단, 이해관계자 수용을 위한 인간 관계 기반 소통이 병행 필요."
최고경영자 (Top Manager),디지털 역량 검증 및 AI 도입 타당성 평가,Validate / Analyze,,Medium,"  • AI capability: 조직의 현재 역량을 평가하고 개발이 필요한 영역을 파악하는 과정에서 AI 도구가 지원함.
  • 인간 capability: 데이터 인프라의 적절성 및 윤리 기준과의 정렬 여부 등 최종 평가는 경영자 판단이 필수적임."
최고경영자 (Top Manager),데이터 기반 전략 수립 및 혁신 기회 포착,Decide,"  • 수립하다",Medium,"  • AI capability: AI는 실행 가능한 인사이트를 생성하여 보다 정보에 기반한 효율적·근거 중심의 의사결정을 지원함.
  • 인간 capability: 최종 전략 방향 설정은 경영자의 인지적 프레임워크가 필수적임.
  • AI가 데이터를 제공하고 경영자의 고유한 인지 틀이 이를 실행 전략으로 전환함."
최고경영자 (Top Manager),반복·루틴 업무 자동화 관리,Operate,,High,AI는 반복적이고 루틴한 업무를 자동화함으로써 인적자원을 고부가가치 활동에 집중시키는 기회를 제공함. 자동화 대상 업무는 인간 부가가치가 낮음.
최고경영자 (Top Manager),성과 모니터링 및 정보 흐름 관리,Analyze,"  • 모니터링하다",High,"AI가 정보 접근을 용이하게 하여 기술·정보 공유가 경영자들의 사업 성과 평가 표준 도구가 되었으며, 정보 흐름 증가가 경영 성과를 개선함."
"최고경영자
  (Top Manager)",AI 기술 트렌드 정보 수집,Collect,,High,"TM은 AI 트렌드가 발전하는 방향을 파악하기 위해 실리콘밸리 기업 등 베스트 인 클래스의 AI 활동을 지속적으로 모니터링함. 정보 수집 자체는 AI 도구 활용 가능성이 높고 인간 부가가치가 낮음.

  • 책임성이 낮음."
최고경영자 (Top Manager),AI 문화 조성 및 변화관리 주도,Govern,"  • 조성하다",Low,"TM은 실패를 허용하고 지식 공유를 장려하는 기업문화를 능동적으로 관리하고, AI의 변혁적 특성을 조직 가치 체계의 핵심 요소로 자리잡게 해야 함.

  • 문화와 가치관 변화는 인간 리더십의 고유 영역으로 책임성이 가장 높음."
최고경영자 (Top Manager),AI 솔루션 구현을 위한 조직구조 개편,Decide,"  • 개편하다",Low,"TM은 AI 이니셔티브 실행을 위한 적절한 환경(AI 랩 등) 조성, 의사결정 위계 재편, CIO/CDO 역할 설정 등 조직구조를 재설계해야 함.

  • 조직 전체에 영향을 미치는 구조적 변화로 높은 책임성이 요구되어 인간 주도."
최고경영자 (Top Manager),AI 인재·자원·인프라 확보 및 배분,Decide,"  • 배분하다",Low,"TM은 적절한 직원에게 책임을 부여하고, 다양한 학제 간 팀 구성, 외부 협력 네트워크 구축, 재무·인프라 자원 제공 등을 결정해야 함.

  • 높은 불확실성과 복잡한 인적·재무 판단이 요구되어 책임성 높은 인간 주도 기능."
최고경영자 (Top Manager),AI 비전 투명하고 신뢰 가능한 소통,Interact,"  • 소통하다",Low,"TM은 AI 비전을 명확히 소통하고, 프로세스·워크플로우 변화를 투명하게 공유하며, 이해관계자들에게 초기 결과를
  납득 가능하게 제시해야 함. 조직 내 신뢰 형성과 이해관계자 관계가 핵심으로 책임성이 높아 인간 주도."
최고경영자 (Top Manager),실험 허용 및 애자일 환경 조성,Govern,"  • 조성하다",Low,"TM은 반복적·애자일 접근법을 허용하고 불가피한 실패에 대한 내성을 보장하여 신뢰 환경을 만들어야 함.

  • 이는 리더십 태도와 조직문화 형성에 관한 기능으로 AI 대체 불가하며, 책임성이 높음."
최고경영자 (Top Manager),AI 목표 진행상황 모니터링,Operate,"  • 모니터링하다",High,"TM은 AI 이니셔티브의 중간 목표를 조율·모니터링하고 직원들을 동기부여함. 진행상황 추적·데이터 수집 자체는 AI 대시보드·툴이 높은 역량으로 수행 가능.

  • 책임성이 낮아 AI 주도 가능한 기능."
최고경영자 (Top Manager),AI 유스케이스 평가,Analyze / Decide,"  • 평가하다(분석동사)
",Low,"TM은 고객 니즈 중심으로 AI 유스케이스를 발굴·우선순위화하고, 재무·비재무(윤리·법적·신뢰·전략적 적합성) 결과를 종합적으로 평가하여 AI 이니셔티브를 승인·거절해야 함.

  • 복잡한 판단과 높은 책임성이 요구되어 인간 주도."
최고경영자 (Top Manager),비즈니스 모델 재검토,Decide,"  • 재검토하다",Low,"TM의 초기 역할은 조직의 장기적 AI 방향을 정의하는 것으로, AI 비전 명시·프로젝트 목표 설정·기존 비즈니스 모델 재검토를 포함함.

  • 이는 고도의 전략적 과업으로 모든 역량을 요구하며, 책임성이 가장 높은 인간 주도 기능임."
최고경영자 (Top Manager),AI 마인드셋 기반 실험·학습 문화 내재화,Disseminate,"  • 내재화시키다",Low,"TM은 유연한 마인드셋, 실험 의지, 데이터 기반 인사이트에 대한 열정을 보여야 하며 조직 전반에 AI 확산 의지와
  헌신을 표명해야 함. 이는 인간 리더십의 태도·가치관에 기반한 기능으로 AI 대체 불가.

  • 책임성 높음."
최고경영자 (Top Manager),AI 리스크 평가 및 윤리 기준 관리,Analyze / Govern,"  • 평가하다",Medium,"  • 인간 Capability: TM은 AI 도입으로 인한 잠재적 위험(직원 일자리 불안, 제조 프로세스 손상 등)을 적절히 평가하고 대응 전략을 수립해야 하며, 조직의 도덕적 나침반 역할로서 AI 맥락에서 윤리 기준 준수를 보장해야 함. AI 도구가 리스크 시나리오 분석을 지원하나 최종 판단은 인간."
최고경영자 (Top Manager),AI 기반 비즈니스 모델 혁신 판단,Decide,"  • 판단하다",Low,"TM은 AI 알고리즘 결과를 최종 결정에 반영하기 전 인간의 판단으로 적절히 평가해야 함. AI는 패턴 인식에 뛰어나지만 신중한 의사결정은 인간의 최종 판단에 의존해야 한다고 명시.

  • 책임성 높음."
최고경영자 (Top Manager),AI 알고리즘 결과 데이터 분석 및 패턴 인식,Analyze,"  • 인식하다",Medium,"  • AI Capability: 복잡한 알고리즘이 방대한 데이터에서 인사이트를 추출하는 것은 AI 역량이 높음
  • 인간 Capability: TM은 AI 결과물을 최종 의사결정에 반영하기 전에 반드시 인간의 판단으로 검토·검증해야 함.

  • 책임성은 중간 수준."
마케팅,고객 데이터 수집 및 통합 (수치·비수치 데이터),Collect,,High,"AI는 고객 거래 데이터, 소셜미디어, 구매이력, Pinterest 핀 등 대규모 수치·비수치 데이터를 수집·통합하는 기능을 높은 역량으로 수행. Stitch Fix 사례에서 AI가 고객 선호 데이터를 수집·통합하는 역할을 담당.

  • 이 기능은 인간 부가가치·책임성이 낮아 AI 주도 가능."
마케팅,신제품 수요 예측의 최종 판단 및 인간-AI 결합 의사결정,Decide,"  • 판단하다",Low,"AI 알고리즘은 점진적 신제품에 대한 예측력은 높으나, 완전 새로운 제품(RNP)에 대한 훈련 데이터가 없어 예측이 불확실함.

  • 이 경우 AI 인사이트와 인간 판단을 최적으로 결합하는 방법이 연구 과제로 제시되며, 최종 의사결정은 높은 책임성으로 인간 주도."
마케팅,AI 윤리·프라이버시·편향 평가,Analyze / Decide,"  • 평가하다(분석동사)",Low,"논문은 AI 도입 시 데이터 프라이버시, 알고리즘 편향, 윤리 문제가 핵심 과제임을 강조하며, 마케팅 학문이 이 문제를 주도적으로 다뤄야 한다고 주장함. 

  • 이러한 거버넌스 기능은 사회적 책임성과 윤리적 판단이 요구되어 인간 주도 필수."
